Date,Open,High,Low,Close,Volume,Adj Close
2013-03-29,12405.53027,12425.95996,12319.75,12397.91016,181600,12397.91016
2013-03-28,12457.12988,12462.86035,12286.37012,12335.95996,204600,12335.95996
2013-03-27,12476.58008,12502.25977,12442.38965,12493.79004,153000,12493.79004
2013-03-26,12461.79004,12540.12012,12456.04004,12471.62012,187600,12471.62012
2013-03-25,12507.61035,12594.36035,12480.41992,12546.45996,169800,12546.45996
2013-03-22,12498.50977,12522.0498,12338.53027,12338.53027,168000,12338.53027
2013-03-21,12592.00,12650.25977,12586.05957,12635.69043,193400,12635.69043
2013-03-19,12405.61035,12491.16016,12401.12012,12468.23047,165200,12468.23047
2013-03-18,12365.44043,12373.16992,12220.62988,12220.62988,195800,12220.62988
2013-03-15,12437.67969,12560.9502,12434.46973,12560.9502,251000,12560.9502
2013-03-14,12332.16016,12395.73047,12248.65039,12381.19043,171600,12381.19043
2013-03-13,12252.29004,12339.4502,12234.48047,12239.66016,196000,12239.66016
2013-03-12,12433.59961,12461.96973,12314.80957,12314.80957,306400,12314.80957
2013-03-11,12363.08984,12403.9502,12300.83008,12349.0498,332400,12349.0498
2013-03-08,12066.50,12283.62012,12065.08984,12283.62012,364600,12283.62012
2013-03-07,12037.25,12069.59961,11946.00977,11968.08008,216000,11968.08008
2013-03-06,11811.05957,11933.82031,11803.08984,11932.26953,201000,11932.26953
2013-03-05,11732.57031,11779.41992,11666.37988,11683.4502,198800,11683.4502
2013-03-04,11695.4502,11767.67969,11613.58984,11652.29004,205200,11652.29004
2013-03-01,11464.70996,11648.62988,11464.70996,11606.37988,190200,11606.37988
2013-02-28,11396.73047,11563.75,11392.55957,11559.36035,217200,11559.36035
2013-02-27,11418.55957,11419.62012,11253.96973,11253.96973,193200,11253.96973
2013-02-26,11449.66016,11520.24023,11374.83008,11398.80957,268000,11398.80957
2013-02-25,11564.5498,11662.51953,11562.09961,11662.51953,240800,11662.51953
2013-02-22,11238.75,11390.65039,11175.66992,11385.94043,248000,11385.94043
2013-02-21,11404.73047,11442.11035,11301.76953,11309.12988,196200,11309.12988
2013-02-20,11485.65039,11510.51953,11440.09961,11468.28027,202000,11468.28027
2013-02-19,11336.4502,11412.86035,11336.4502,11372.33984,190000,11372.33984
2013-02-18,11318.21973,11445.45996,11308.83008,11407.87012,238400,11407.87012
2013-02-15,11239.20996,11261.58008,11065.05957,11173.83008,346200,11173.83008
2013-02-14,11273.40039,11356.54004,11243.49023,11307.28027,280000,11307.28027
