Date,Open,High,Low,Close,Volume,Adj Close
2015-03-31,40.78,41.03,40.54,40.66,34887200,40.66
2015-03-30,41.10,41.54,40.91,40.96,35049700,40.96
2015-03-27,41.12,41.43,40.83,40.97,34401400,40.97
2015-03-26,41.22,41.61,40.92,41.21,37495600,41.21
2015-03-25,42.92,42.93,41.44,41.46,43469900,41.46
2015-03-24,42.78,43.17,42.75,42.90,25513300,42.90
2015-03-23,42.88,43.13,42.78,42.86,26246100,42.86
2015-03-20,42.56,42.98,42.49,42.88,71904500,42.88
2015-03-19,42.26,42.59,42.22,42.29,33879100,42.29
2015-03-18,41.43,42.83,41.33,42.50,44194800,42.50
2015-03-17,41.37,41.83,41.15,41.70,31673400,41.70
2015-03-16,41.47,41.64,41.28,41.56,35273500,41.56
2015-03-13,40.70,41.47,40.61,41.38,58007700,41.38
2015-03-12,41.33,41.65,40.86,41.02,59992500,41.02
2015-03-11,42.31,42.37,41.84,41.98,32215300,41.98
2015-03-10,42.35,42.71,42.03,42.03,39159700,42.03
2015-03-09,42.19,43.13,42.19,42.85,32108000,42.85
2015-03-06,43.00,43.11,42.15,42.36,36248800,42.36
2015-03-05,43.07,43.24,42.82,43.11,23193500,43.11
2015-03-04,43.01,43.21,42.88,43.06,25748700,43.06
2015-03-03,43.56,43.83,43.09,43.28,31748600,43.28
2015-03-02,43.67,44.19,43.55,43.88,31924000,43.88
2015-02-27,44.13,44.20,43.66,43.85,33807700,43.85
2015-02-26,43.99,44.23,43.89,44.06,28957300,44.06
2015-02-25,43.95,44.09,43.80,43.99,29759800,43.99
2015-02-24,44.15,44.30,43.92,44.09,25271700,44.09
2015-02-23,43.70,44.19,43.65,44.15,32518800,44.15
2015-02-20,43.51,43.88,43.29,43.86,29721100,43.86
2015-02-19,43.18,43.53,43.05,43.50,27603400,43.50
2015-02-18,43.63,43.70,43.39,43.53,27111700,43.53
2015-02-17,43.97,44.00,43.19,43.58,33695700,43.58
2015-02-13,43.38,43.87,43.15,43.87,40264900,43.56
2015-02-12,42.66,43.09,42.51,43.09,33268800,42.78551
2015-02-11,42.65,42.65,42.21,42.38,38262500,42.08053
2015-02-10,42.74,42.77,42.18,42.60,29670700,42.29897
2015-02-09,42.24,42.74,42.21,42.36,31381100,42.06067
2015-02-06,42.68,42.79,42.15,42.41,34311700,42.11032
