66.07,65.93,3398400,1.6631,14791.99023,139200,4268.04004,2153130000,103.679,1.3793,1885.52002,3336190000
65.5,65.48,2587000,1.6622,14946.32031,162400,4276.45996,2187100000,103.837,1.3762,1890.90002,3131660000
62.92,62.45,6984500,1.6594,15071.87988,134400,4237.74023,2067370000,103.94,1.3715,1888.77002,3055600000
61.2,61.32,6157100,1.6579,15063.76953,97100,4127.72998,2621270000,103.24,1.3705,1865.08997,3583750000
60.53,60.47,6271100,1.6608,14808.84961,112800,4079.75,2554680000,103.15,1.3743,1845.04004,3801540000
62,61.82,6710000,1.6745,14606.87988,130400,4112.99023,2198900000,101.694,1.3794,1851.95996,3721450000
63.05,63.46,6427400,1.6789,14299.69043,162500,4183.8999,1957560000,101.974,1.3851,1872.18005,3308650000
60.89,61.49,5648500,1.6778,14300.12012,128900,4054.11011,2421210000,101.485,1.3887,1833.07996,3758780000
61.18,60.5,5930700,1.6737,13960.0498,174700,3999.72998,2264480000,101.62,1.3882,1815.68994,3743460000
61.5,61.39,3234000,1.6728,13910.16016,121100,4022.68994,1890480000,101.743,1.382,1830.60999,3111540000
62.27,62.11,3598600,1.6723,13996.80957,120800,4034.15991,2413110000,101.804,1.3813,1842.97998,3736440000
62.96,63.04,3370600,1.6794,14417.67969,143600,4086.22998,1863110000,102.28,1.3813,1862.31006,3155080000
64,64.04,3745800,1.6794,14417.53027,127900,4095.52002,1954720000,102.45,1.3814,1864.84998,3341430000
64.06,64.3,2077300,1.679,14516.26953,78200,4121.5498,1544440000,102.379,1.3818,1871.89001,2642500000
64.23,64.48,3854900,1.6799,14512.37988,95300,4161.45996,1875930000,102.602,1.3793,1879.55005,3215440000
64.89,64.39,2863700,1.6823,14388.76953,99300,4126.97021,1794760000,102.61,1.3804,1875.39001,3085720000
62.92,63.22,3961200,1.6778,14546.26953,103200,4148.33984,2130870000,102.44,1.3816,1878.60999,3191830000
61.84,61.61,4288500,1.6801,14404.99023,106300,4075.56006,2087140000,102.311,1.3827,1863.40002,3213020000
60.57,60.4,4375800,1.6797,14429.25977,115000,4074.3999,2348320000,102.165,1.3832,1869.43005,4034680000
60.87,60.91,3531600,1.6806,14288.23047,97400,4103.54004,1911240000,102.54,1.3848,1878.32996,3647820000
61.69,61.69,3722100,1.6829,14288.23047,0,4114.56006,2151400000,102.566,1.3811,1883.94995,3779230000
62.86,62.59,2839300,1.6879,14304.11035,125100,4127.4502,2077040000,102.16,1.387,1883.68005,3416740000
61.2,61.56,2365300,1.6887,14485.12988,129200,4123.8999,1844790000,102.304,1.3865,1881.14001,3159560000
61.15,61.44,2070200,1.6872,14457.50977,108600,4138.06006,1561170000,102.232,1.387,1884.66003,2733730000
59.56,59.44,3913200,1.6866,14457.50977,0,4080.76001,1850610000,102.1,1.3876,1867.71997,3327260000
58.34,58.63,7061100,1.698,14033.4502,143200,4067.66992,2486030000,101.639,1.3928,1878.20996,3632950000
59.14,59.08,3824900,1.6955,14163.78027,123000,4051.5,2411940000,101.825,1.3912,1875.63,3393420000
59.77,59.59,3607800,1.6939,14199.58984,125300,4071.87012,1976160000,101.546,1.3852,1878.47998,3025020000
60.81,60.7,2863600,1.6849,14149.51953,109200,4143.85986,1880020000,101.81,1.3754,1896.65002,3005740000
59.95,60.81,2938400,1.6867,14425.44043,129900,4130.16992,1923480000,102.168,1.3757,1897.44995,2915680000
60.71,60.88,2497800,1.6825,14405.75977,112700,4100.62988,1764430000,102.271,1.3701,1888.53003,2822060000
60.65,60.2,5699200,1.6768,14298.20996,132600,4069.29004,2083030000,101.772,1.371,1870.84998,3552640000
61.27,61.64,3651200,1.6793,14096.58984,131300,4090.59009,1741070000,101.54,1.371,1877.85999,3173650000
62.12,62.2,2817600,1.682,14006.44043,114000,4125.81006,1601400000,101.53,1.37,1885.07996,2664250000
61.73,61.71,1865300,1.6821,14075.25,123100,4096.89014,1797910000,101.389,1.3709,1872.82996,3007700000
62.29,62.47,1414100,1.684,14042.16992,121700,4131.54004,1703500000,101.32,1.3698,1888.03003,2777140000
63.33,63.15,1814700,1.6902,14337.79004,160300,4154.33984,1835810000,101.406,1.3685,1892.48999,2759800000
64.64,64.3,2281900,1.6864,14462.16992,142400,4185.81006,1536610000,101.787,1.3654,1900.53003,2396280000
65.43,65.25,2150600,1.6828,14602.51953,106900,4237.06982,1812330000,101.977,1.363,1911.91003,2911020000
64.93,64.84,2198400,1.6844,14636.51953,129400,4225.08008,1785140000,101.922,1.3645,1909.78003,2976450000
65.75,65.45,2061000,1.6807,14670.9502,120100,4247.9502,1714000000,101.97,1.3636,1920.03003,2709050000
64.54,64.54,2444300,1.6711,14681.71973,122000,4242.62012,1903660000,101.84,1.3594,1923.56995,3263490000
64.19,64.64,1427700,1.6713,14632.37988,175300,4237.2002,1631310000,101.7,1.3602,1924.96997,2509020000
64.1,64.09,3010200,1.6761,14935.91992,130600,4234.08008,1718640000,101.802,1.3631,1924.23999,2867180000
64.3,64.17,2675600,1.6744,15034.25,145900,4251.64014,1610090000,102.427,1.3597,1927.88,2793920000
65.99,65.47,2041900,1.6746,15067.95996,132000,4296.22998,1926750000,102.527,1.3625,1940.45996,3113270000
66.7,66.91,3623500,1.6741,15079.37012,127900,4321.3999,1616650000,102.713,1.3599,1949.43994,2864300000
66.69,66.93,1339800,1.6811,15077.24023,134800,4336.24023,1783060000,102.472,1.3653,1951.27002,2812180000
66.9,66.96,1558800,1.6806,15124,107300,4338,1787120000,102.49,1.3644,1950.79004,2702360000
67.23,67.46,1607900,1.6793,14994.7998,121300,4331.93018,1778460000,102.517,1.3587,1943.89001,2710620000
66.7,66.56,1940100,1.6756,15069.48047,99500,4297.62988,1908190000,102.327,1.3545,1930.10999,3040480000
66.8,66.82,2981100,1.6793,14973.53027,132400,4310.6499,1754560000,101.97,1.3529,1936.16003,2598230000
67.36,67.62,4370400,1.6832,15097.83984,172200,4321.1001,1675120000,101.623,1.3564,1937.78003,2926130000
73.82,67.54,6654100,1.6968,14933.29004,116000,4337.22998,1814360000,101.99,1.3538,1941.98999,2971260000
73.17,73.08,11376700,1.7035,14975.96973,107400,4362.83984,1860660000,101.95,1.3602,1956.97998,3065220000
